Name of publication,Delivery,Address,State,Audience: City/region,Audience,Black-owned?,Contact,Contact type,URL
Black Iowa News,Newsletter,"1426 E. 17th Ct, Des Moines, IA 50316",Iowa,Statewide,African-American,Y,"Dana James, blackiowanews@icloud.com",Founder,https://blackiowanews.bulletin.com/?fbclid=IwAR1fj5nKhSwj7C1seM-xZcmEMrkncbbK8t2H40Nqx6P01-JYzWwspRRdSb0
Black Star News,"""Newspaper, weekly""","11 Broadway # 519, New York, NY 10004",New York,NYC,African-American,Y,,,https://www.blackstarnews.com/
Black Voice News,"""Newspaper, weekly"",""Online, daily""","1201 University Ave. Ste. 210, Riverside, CA 92507",California,Riverside/Inland Empire,African-American,Y,"Paulette Brown-Hinds, info@blackvoicenews.com",Publisher,https://www.blackvoicenews.com/
Black Westchester,Magazine,"455 Tarrytown Rd, Suite 1318, White Plains, NY 10607",New York,Westchester County,African-American,Y,BlackWestchesterMag@gmail.com,General inbox,blackwestchester.com
Blackbelt Voices,Podcast,"P.O. Box 2093, Conway, AR 72033",Arkansas,U.S. South,Black diaspora,Y,"Adena J. White, yall@blackbeltvoices.com",Founder,https://www.blackbeltvoices.com/
Bleu Magazine,"Magazine,Online","26 Broadway, New York, NY 10004",New York,Nationwide,African-American,Y,"Devon Johnson, devon@bleulife.com",Publisher,https://bleumag.com/
Bluff City Post,"""Newspaper, semimonthly""","719 Franklin St, Natchez, MS 39120",Mississippi,Natchez,African-American,Y,,,
Bridge Detroit,"""Online, daily""","3434 Chene, PO Box 7046, Detroit, MI 48207",Michigan,Detroit,General market but all staff Black and Latino,"N, nonprofit","Stephen Henderson, SHDetroit@bridgedetroit.com",Editor,https://www.bridgedetroit.com/
Brooklyn Afro Times,"""Newspaper, weekly""","1195 Atlantic Avenue Brooklyn, New York 11216",New York,Brooklyn,African-American,Y,,,
California Advocate,"""Newspaper, weekly""","1555 E St, Fresno, CA 93706",California,Fresno/Central Valley,African-American,Y,"Mark Kimber, newsroom@caladvocate.com",Publisher,https://thecaladvocate.com/
Call and Post,"""Newspaper, weekly""","11800 Shaker Blvd, Cleveland, OH 44120",Ohio,Cleveland,African-American,Y,,,https://www.callandpost.com/
Capital B,Online,"Atlanta, GA",Georgia,Atlanta,Black,"N, non-profit","Lauren Williams & Akoto Ofori-Atta, info@capitalbnews.org",Cofounders,https://capitalbnews.org
Capital Outlook,"""Newspaper, weekly""","1363 E Tennessee St, Tallahassee, FL 32308",Florida,Tallahassee,African-American,Y,"St. Clair Murraine, info@capitaloutlook.com",marketing director,http://capitaloutlook.com/site/
Carib Press,"""Newspaper, monthly""","8549 Wilshire Blvd, Beverly Hills, CA",California,Southern California,Caribbean,Y,"Lyndon A. Johnson, info@caribpress.com",Publisher,http://www.caribpress.com/
Caribbean Life,"""Newspaper, twice monthly""","One Metrotech Center North, Brooklyn, NY 11201",New York,Greater New York,Caribbean,N,"Cliff Luster, cluster@schnepsmedia.com",Publisher,https://www.caribbeanlifenews.com/
Caribbean Times,"""Newspaper, twice monthly""","P.O. Box 100470, Brooklyn, NY 11210",New York,"Brooklyn, Queens, Manhattan, Bronx",Caribbean,Y,"Michael Babwar, mike@caribbeantimesnews.com",Publisher,https://caribbeantimesnyc.com/
Carolina Panorama,"""Newspaper, weekly""","P.O. Box 11205, Columbia, SC 29211-1205",South Carolina,Columbia,African-American,Y,,,https://www.carolinapanorama.com/
Carolina Peacemaker,"""Newspaper, weekly""","807 Summit Avenue, Greensboro, NC 27405",North Carolina,Greensboro,African-American,Y,"John Marshall Kilimanjaro, ads@carolinapeacemaker.com",Publisher,http://www.peacemakeronline.com/
Carter Broadcast Group (KPRS/KPRT),Radio,"11131 Colorado Ave, Kansas City, MO 64137",Missouri,Kansas City,African-American,Y,,,https://www.kprs.com/
CashColorCannabis,"Online,Podcast",N/A,Nationwide,Nationwide,African-American,Y,"Mehka King, 
mehka@invisiblemanmedia.com",Founder,https://www.cashcolorcannabis.com/
Central Valley Voice,"""Newspaper, monthly""","1444 Fulton St, Fresno, CA 93721-1610",California,Central Valley,African-American and Latino,Y,"Felicia Roberts, centralvalleyvoice@yahoo.com",Publisher,http://centralvalleyvoicenews.com/
Challenger Community News,"""Newspaper, weekly""","1337 Jefferson Ave, Buffalo, NY 14208",New York,Buffalo,African-American,Y,"Alnisa Banks, advertising@thechallengernews.com",Editor,https://thechallengernews.com/
Chattanooga Courier,"""Newspaper, weekly""","6050 Shallowford Rd, Chattanooga, TN 37422",Tennessee,Chattanooga,African-American,Y,,,https://www.pridepublishinggroup.com/pride/
Chattanooga News Chronicle,"""Newspaper, weekly""","611 E M L King Blvd, Chattanooga, TN 37403",Tennessee,Chattanooga,African-American,Y,,,https://chattnewschronicle.com/
Chicago Crusader,"""Newspaper, weekly""","6429 S King Dr, Chicago, IL 60637",Illinois,Chicago,African-American,Y,"Dorothy Leavell, news@chicagocrusader.com",Publisher,https://chicagocrusader.com/
Chicago Defender,"""Newspaper, weekly""","4445 S King Dr, Chicago, IL 60653",Illinois,Chicago,African-American,Y,"Dyanna Knight Lewis, editorial@chicagodefender.com",Regional VP,https://chicagodefender.com/
Citizen Newspaper Group,"""Newspaper, weekly""","8741 S Greenwood Ave, Chicago, IL",Illinois,South Side Chicago,African-American,Y,editorial@citizennewspapergroup.com,General inbox,https://citizennewspapergroup.com/
City Bureau,"""Online, daily""","3619 S. State St. Ste 400, Chicago, IL 60609",Illinois,Chicago,General,Nonprofit,"Bettina Chang and Darryll Holliday, info@citybureau.org",Co-founders,citybureau.org
Clarksville Press,"""Newspaper, weekly""","2277-C Wilma Rudolph Blvd #268, Clarksville, TN  37040",Tennessee,Clarksville,African-American,Y,,,https://www.pridepublishinggroup.com/pride/
CNY Vision,"""Newspaper, weekly""","331 Hollenbeck St, Rochester, NY 14621",New York,Syracuse,African-American,Y,,,http://cnyvision.com/
Compton Bulletin,"""Newspaper, weekly""","800 E Compton Blvd E, Rancho Dominguez, CA 90221",California,Compton,Multicultural,Y,news@thecomptonbulletin.com,General inbox,https://www.thebulletinweekly.com/
Compton Herald,"""Online, daily""","701 S Santa Fe Ave, Compton, CA 90221 (approximate)",California,Compton,African-American,Y,"Jarrette Fellows, thecomptonherald@gmail.com",Manager,https://www.comptonherald.org/
Converge Media,Online,"80 S Washington St Suite 203, Seattle, WA 98104",Washington,Seattle/PNW,African American,Y,Info@Africatown.Media.com,,https://www.whereweconverge.com/
CultureBanx,Online,"Brooklyn, NY",Nationwide,Nationwide,African-American,Y,info@culturebanx.com,General inbox,https://www.culturebanx.com/
Cup of Soul Show,Online,Pennsylvania,Pennsylvania,Nationwide,BIPOC,Y,Kathia Woods,Founder,https://www.cupofsoulshow.com
Dallas Examiner,"""Newspaper, weekly""","4510 S. Malcolm X Blvd., Dallas, TX 75215",Texas,Dallas,African-American,Y,"Mollie Finch Belt, mbelt@dallasexaminer.com",Publisher,dallasexaminer.com
Dallas Post Tribune,"""Newspaper, weekly""","2726 S Beckley Ave, Dallas, TX 75224",Texas,Dallas,African-American,Y,,,https://dallasposttrib.com/
Data News Weekly,"""Newspaper, weekly""","3501 Napoleon Ave, New Orleans, LA 70125",Louisiana,New Orleans,African-American,Y,"Terry B. Jones, datanewsad@bellsouth.net",Publisher,https://ladatanews.com/
Davis Broadcasting Co. (WOKS/WFXE/WKZJ/WEAM/WIOL),Radio,"2203 Wynnton Rd, Columbus, GA 31906",Georgia,Columbus,African-American,Y,,,http://www.dbiradio.com/
Daytona Times,"""Newspaper, weekly""","P.O. Box 48857, Tampa, FL 33646",Florida,Daytona Beach,African-American,Y,"Julia T. Cherry, sales@daytonatimes.com",Senior managing member,http://daytonatimes.com/
Deem Journal,Magazine,N/A,Nationwide,Nationwide,BIPOC,Y,hello@deemjournal.com,General inbox,https://www.deemjournal.com/
Delawareblack.com,"""Online, daily""","500 Delaware Ave Ste 1, Wilmington, DE 19801 (approximate)",Delaware,State of Delaware,African-American,Y,"Leonard Young, info@delawareblack.com",Founder,Delawareblack.com
Denver Urban Spectrum,"""Newspaper, monthly""","738 Peoria St Unit 31001, Aurora, CO 80041",Colorado,Denver,Multicultural,Y,"Bee Harris, publisher@urbanspectrum.net",Publisher,http://denverurbanspectrum.com/
Denver Weekly News,"""Newspaper, weekly""",P.O. Box 5008. DENVER Colorado 80217-5008,Colorado,Denver,African-American,Y,dwnews2@yahoo.com,General inbox,https://www.facebook.com/DenverWeeklyNews/
Durham Skywriter/TV Skywriter,Online,"1910 Capps St, Durham NC 27707",North Carolina,"Durham, NC (newspaper); worldwide (interview program)",multicultural,Y,"Patricia A Murray, durhamskywriter@gmail.com, 919-809-9682",Publisher/Host,www.durhamskywriter.com
East Side Daily News,"""Newspaper, every three days""","11400 Woodland Ave, Cleveland, OH 44104",Ohio,East side of Cleveland,African-American,Y,,,https://www.eastsidedailynews.com/
Eclectically Black News,"""Online, daily"",Blog","421 8th Ave, New York, NY 10001 (approximate)",New York,Nationwide,Black diaspora,Y,,,http://gloria-dulan-wilson.blogspot.com/
Ernestly Speaking,Podcast,"Philadelphia, PA",Pennsylvania,Nationwide,General,Y,Ernest Owens,Host,https://soundcloud.com/mrernestowens
Ethiopian Community Media Association,TV program,"655 South Orcas St. Bldg O, #203, Seattle, WA 98109",Washington,Seattle,Ethiopian,Y,info@ecseattle.org,,https://www.ecseattle.org/
Ethiopian Observer,Online,"17829 Wayne Avenue N, Seattle WA 98133",Washington,Seattle,Ethiopian,Y,ethiopians@ethioobserver.net,,http://www.ethioobserver.net/
Everybody's Caribbean,"""Magazine, 9 issues annually""","1630 Nostrand Ave., Brooklyn NY 11226",New York,Greater New York,Caribbean,Y,"Herman Hall, editor@everybodysmag.com",Editor,https://everybodysmag.com/
Facts News,"""Newspaper, weekly""","1112 34th Ave, Seattle, WA 98122",Washington,Seattle,African-American,Y,,,https://www.nwfacts.com/
Flint Beat,"""Online, daily""","615 Saginaw Street Suite 5005, Flint, Mich. 48502",Michigan,Flint,General,Y,"Jiquanda Johnson, team@flintbeat.com",Founder,flintbeat.com
Florida Courier,"""Newspaper, weekly""","PO Box 48857 Tampa, FL 33646-0124",Florida,Fort Pierce,African-American,Y,"Julia T. Cherry, sales@daytonatimes.com",Senior managing member,https://flcourier.com/
Florida Sentinel-Bulletin,"""Newspaper, weekly""","2207 E 21st Ave, Tampa, FL 33605",Florida,Tampa,African-American,Y,"Gwen Hayes, editor@flsentinel.com",Editor,https://flsentinel.com/
Fort Wayne Ink Spot,"""Newspaper, biweekly""","2513 S Calhoun St, Fort Wayne, IN 46807",Indiana,Fort Wayne,African-American,Y,"John Dortch, fwinkspot@gmail.com",Publisher,https://www.fwinkspot.com/
Forward Times ,"""Newspaper, weekly""","4411 Almeda Rd Houston, Texas 77004",Texas,Houston,African-American,Y,,,https://forwardtimes.com/
From the G-Man,Online,"Harlem, NYC",New York,NYC,African-American,Y,"Gary Glennell Toms, FromTheGMan@protonmail.com, (973) 530-7658","Founder, Editor-in-Chief",https://fromthegman.net/
FunTimes Magazine,"Magazine,Online","1226 N 52nd St  Philadelphia, PA 19131",Pennsylvania,Delaware Valley,"African, Caribbean and African American",Y,"Eric Nzeribe, info@funtimesmagazine.com",CEO & Founder,https://www.funtimesmagazine.com/
Gainesville Guardian,"""Newspaper, weekly""","2700 SW 13th St., Gainesville, Florida 32608-2015",Florida,Gainesville,African-American,N,"Cleveland Tinker, cleveland.tinker@gvillesun.com, (352) 337-0376",Editor,http://gainesvilleguardian.com/
Garland Journal,"""Newspaper, twice monthly""","320 S RL Thornton Freeway Service Rd, Dallas, TX 75203",Texas,Garland,African-American,Y,,,https://garlandjournal.com/
Gary Crusader,"""Newspaper, weekly""","1549 Broadway, Gary, IN 46407",Indiana,Gary,African-American,Y,"Dorothy Leavell, news@garycrusader.com",Publisher,https://chicagocrusader.com/category/gary-local-news/
Georgia Sentinel,"""Newspaper, weekly""","3900 Crown Rd SE SW, Atlanta, GA 30304 (approximate)",Georgia,Atlanta,African-American,Y,"Andre White, andrewhite.us@gmail.com",Publisher,http://www.georgiasentinelnews.com/
Grand Rapids Times,"""Newspaper, weekly""","2016 Eastern Ave SE, Grand Rapids, Michigan 49507",Michigan,Grand Rapids,African-American,Y,"Patricia Pulliam, staff@grtimes.com",Publisher,https://www.grtimes.com/
Greene County Democrat,"""Newspaper, weekly""","206 Prairie Ave, Eutaw, AL 35462",Alabama,Eutaw/Greene County,African-American,Y,"John and Carol Zippert, (205) 372-3373",Publisher,https://greenecodemocrat.com/
Haiti en Marche,"""Newspaper, weekly""","173 N.W. 94th Street Miami, Florida 33150",Florida,Miami,Haitian,Y,"Elsie Etheart, elsieetheart@gmail.com",Owner,https://www.haitienmarche.com/
Haiti Progres,"""Newspaper, weekly""","PO Box 30273, Brooklyn, NY 11203",New York,NYC,Haitian,Y,"Maude LeBlanc, newyork@haitiprogres.com",Publisher,https://haitiprogres.com/news/
Harlem Community News,"""Newspaper, biweekly""","P. O. Box # 1775, N.Y., N.Y. 10027",New York,Harlem,African-American,Y,,,https://harlemcommunitynews.com/
HBCU Nation,"Satellite radio,TV,Podcast",,"Washington, D.C.","Charlotte, NC/ Nationwide",HBCU Community / African Diaspora,Y,"Sonya Worrell, sonya@hbcunation.org",COO,www.HBCUNation.org / www.HBCUSmartTV.com
Her Agenda,Online,"New York, NY",New York,Nationwide,African-American,Y,"Rhonesha Byng, rhonesha@heragenda.com, (917) 434-8699","Founder, CEO",https://heragenda.com/
Hoopfeed,Online,"San Francisco Bay Area, California",Nationwide,Nationwide,Women's Basketball Fans,Y,Cheryl Coward,Founder,https://www.hoopfeed.com/content/
Houston Defender,"""Newspaper, weekly""","12401 S Post Oak Rd, Houston, TX 77045",Texas,Houston,African-American,Y,,,https://defendernetwork.com/
Hudson Valley Press,"""Newspaper, weekly""","343 Broadway, Newburgh, NY 12550",New York,Newburgh/Hudson Valley,African-American,Y,,,https://hudsonvalleypress.com/
Hy-Lo News,"""Online, daily""","6200 NW 7th St, Miami, FL 33126 (approximate)",Florida,Miami,African-American,Y,"Janey Tate, hylonews@gmail.com",Editor,https://hylonewsmiami.com/
I Messenger,"""Magazine, weekly""","320 S RL Thornton Freeway Service Rd, Dallas, TX 75203",Texas,State of Texas,"African-American, women",Y,,,https://myimessenger.com/
I Mix What I Like,"Online,Podcast",N/A,Nationwide,Nationwide,African-American,Y,"Jared A. Ball, Ph.D., freemixradio@gmail.com",Founder,https://imixwhatilike.org/
In My Humble Opinion,Radio,"Charlottesville, VA",Virginia,Charlottesville,African-American,Y,imhotalkshow@gmail.com,General inbox,https://www.imhotalkshow.org/
Indianapolis Recorder,"""Newspaper, weekly""","2901 N Tacoma Ave, Indianapolis, IN 46218",Indiana,Indianapolis,African-American,Y,"Robert Shegog, roberts@indyrecorder.com",President and CEO,https://indianapolisrecorder.com/
Inglewood Business Magazine,"""Magazine, bimonthly""","300 E Hillcrest Blvd, Inglewood, CA 90301 (approximate)",California,Inglewood,African-American,Y,"Norman Boseman, inglewoodbusinessmag@gmail.com",Publisher,https://inglewoodbusinessmag.com/
Inglewood Times,"""Online, daily"",""Magazine, quarterly""","2926 W Manchester Blvd, Inglewood, CA 90305",California,Inglewood,African-American,Y,"Richard Diaz, info@inglewoodtimes.com",Publisher,http://inglewoodtimesmagazine.com/
Inglewood Today,"""Newspaper, weekly""","9111 S La Cienega Blvd Inglewood, CA 90301",California,Inglewood,African-American,Y,"Kenneth Miller, info@inglewoodtoday.com",Publisher,https://inglewoodtoday.com/
Inland Valley News,"""Newspaper, weekly""","2009 Porterfield Way, Upland, CA 91786",California,Pomona/Inland Valley,African-American,Y,"Talese Morrow, Talese@InlandValleyNews.com",Publisher,http://inlandvalleynews.com/
Inner-City News,"""Newspaper, weekly""","50 Fitch St # 2, New Haven, CT 06515",Connecticut,New Haven,African-American,Y,"Babz Rawls Ivy, babz@pennfieldcomm.com",Editor,https://www.facebook.com/Inner-City-Newspaper-144130975669013/?ref=page_internal
Inquiring News,"""Newspaper, weekly""","P.O. Box 1984, Hartford, CT 06144",Connecticut,"Hartford, CT; Springfield, MA",African-American,Y,inqnews@aol.com,General inbox,https://inqnews.com/
Insight News,"""Newspaper, weekly""","1803 N Bryant Ave, Minneapolis, MN 55411",Minnesota,St. Paul-Minneapolis,African-American,Y,"Al McFarlane, info@insightnews.com",Founder and editor,https://www.insightnews.com/
Jackson Advocate,"""Newspaper, monthly""","100 W.Hamilton St. Jackson Ms, 39202",Mississippi,Jackson,African-American,Y,"Deanna Tisdale-Johnson, thejacksonadvocate@gmail.com",Publisher,https://www.jacksonadvocateonline.com/
Jackson Free Press,"""Newspaper, biweekly""","125 S. Congress Street #1324A Jackson, MS 39201",Mississippi,Jackson,All-inclusive,"N, mostly Black staff","Donna Ladd, 601-362-6121",Editor and CEO,jacksonfreepress.com
Jacksonville Free Press,"""Newspaper, weekly""","1122 Edgewood Ave W, Jacksonville, FL 32208",Florida,Jacksonville,African-American,Y,jfreepress@aol.com,General inbox,http://jacksonvillefreepress.com/
Journal And Guide,"""Newspaper, weekly""","5127 E Virginia Beach Blvd, Norfolk, VA 23502",Virginia,Norfolk,African-American,Y,,,http://thenewjournalandguide.com/
Kansas City Globe,"""Newspaper, weekly""","615 E 29th St, Kansas City, MO 64109",Missouri,Kansas City,African-American,Y,,,https://www.thekansascityglobe.com/
KAZI,Radio,"8906 Wall St #203, Austin, TX 78754",Texas,Austin,African-American,Nonprofit,,,https://www.kazifm.org/
KBBG,Radio,"918 Newell St, Waterloo, IA 50703",Iowa,Waterloo,African-American,N,,,
KCEP,Radio,"350 W Washington suite #125 Las Vegas, Nevada 89106",Nevada,Las Vegas,African-American,Nonprofit,"Craig Knight, 702-648-0104",Station Manager,https://www.power88lv.com/
KCLT/WNEV/KAKJ,Radio,"700 Martin Luther King Drive, West Helena AR 72390",Arkansas,Eastern Arkansas/Northwest Mississippi,African-American,Y,"Raymond Simes, force2@sbcglobal.net",CEO,https://force3radio.com/
Key News Journal,"""Newspaper, monthly""","P.O. Box 23321 Lexington, KY 40523",Kentucky,Lexington/Central KY,African-American,Y,editorial@keynewsjournal.com,General inbox,https://www.facebook.com/TheKeyNewsjournal/
KFOO,Radio,"2030 Iowa Ave Ste 100, Riverside CA 92507",California,San Bernardino/Riverside,African-American,"N, iheartradio affiliate",,,https://riverside.binnews.com/
KISA Radio,"""Online, radio""","Atlanta, GA",Georgia,Nationwide,African Americans,Y,"Lisa Tinsley, lisa@kisaradio.org",Founder,https://kisaradio.org
KJBU,Radio,"4000 S. Rose Avenue, Oxnard CA 90333",California,Ventura County,Black diaspora,"N, nonprofit",info@rhythmofthecoast.com,General inbox,http://rhythmofthecoast.com/
KJLH,Radio,"161 N. La Brea Avenue, Inglewood, CA 90301",California,Southern California,African-American,Y,"Karen Slade, keslade@kjlhradio.com",General manager,https://kjlhradio.com/
KKSF,Radio,"340 Townsend St San Francisco, CA",California,Oakland/Bay Area,African-American,"N, iheartradio affiliate",,,https://bayarea.binnews.com/
KOWN,Radio,"7400 Dodge St Ste 64, Omaha, NE 68114",Nebraska,Omaha,African-American,Y,,,http://www.957fmtheboss.com/
KPOO,Radio,1329 Divisadero St San Francisco,California,San Francisco,African-American,,,,https://kpoo.com/
KSQA,TV,"301 South 36th Street, Quincy, IL 62301",Kansas,Topeka,General market ,Y,,,
LA Focus,"""Newspaper, monthly""","333 W Florence Ave, Inglewood, CA",California,Los Angeles,African-American,Y,"Lisa Collins, lafocus@aol.com",Publisher and editor,https://lafocusnewspaper.com/
LA Watts Times,"""Newspaper, weekly""","3800 Crenshaw Blvd, Los Angeles, CA 90008",California,Los Angeles,African-American,Y,"Danny Bakewell, dannysr@lasentinel.net",,https://lawattstimes.com/
Las Vegas Black Image,"""Magazine, monthly""","2412 Santa Clara Drive, Las Vegas, NV 89104",Nevada,Las Vegas,African-American,Y,"Charles and Kimberly Tueraud, cdalasvegas@gmail.com",Co-owners,http://lasvegasblackimage.com/
Legacy,"""Newspaper, weekly""","P.O. Box 12474, Richmond, VA 23241",Virginia,Richmond,African-American,Y,,,https://virginialegacy.com/
Los Angeles Sentinel,"""Newspaper, weekly""","3800 Crenshaw Blvd, Los Angeles, CA 90008",California,Los Angeles,African-American,Y,"Pamela Bakewell, pamela@lasentinel.net",Executive vice president,https://lasentinel.net/
Los Angeles Wave Newspapers,"""Newspaper, weekly""","3731 Wilshire Blvd #840, Los Angeles, CA 90010",California,Los Angeles,Multicultural,Y,"Don Wanlass, newsroom@wavepublication.com",Managing editor,http://wavepublication.com/
Louisiana Weekly,"""Newspaper, weekly""","2215 Pelopidas St, New Orleans, LA 70122",Louisiana,New Orleans,African-American,Y,"Renette Dejoie-Hall, rdh@louisianaweekly.com",Executive editor,http://www.louisianaweekly.com/
Louisville Defender,"""Newspaper, weekly""","1720 Dixie Hwy, Louisville, KY 40210",Kentucky,Louisville,African-American,Y,loudefender@aol.com,General inbox,https://www.facebook.com/louisvilledefender/
Love Now Media,"""Online, video""","836 South Street Philadelphia, PA 19147",Pennsylvania,Philadelphia,General,Y,"Jos Duncan, jos@lovenowmedia.com",Founder and Chief Storyteller,https://lovenowmedia.com/
mater mea,Online,"New York City, NY",Nationwide,Nationwide,Black Mothers,Y,Tomi Akitunde General inquiries: info@matermea.com,Founder,https://matermea.com
Michigan Bulletin,"""Newspaper, weekly""","P.O. Box 13062 Lansing, MI 48901",Michigan,Lansing,African-American,Y,"Marcus Jefferson, (517) 321-1234",Publisher,https://mibulletin.com/
Michigan Chronicle,"""Newspaper, weekly""","1452 Randolph Street #400, Detroit, MI 48226",Michigan,Detroit,African-American,Y,"AJ Williams, aj.williams@michchronicle.com",Managing editor,https://michiganchronicle.com/
